sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM8316635,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,1.864457813449437,1.2279936115318812,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 2"
GSM8316636,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.2368551942349115,1.3538648569579965,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 3"
GSM8316637,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.1188151097295616,1.1036917065916514,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 4"
GSM8316638,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.139877789913721,1.2568607119386588,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 5"
GSM8316640,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.177269595051438,1.301122893118611,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 6"
GSM8316641,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.0488969697224846,1.302788476880932,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 7"
GSM8316642,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,1.9795076407543855,1.012447424534114,GSE269493_CDAA_HFD_Lanifibranor,Healthy,Chow,not_specified,"tissue: Liver,treatment: Chow",Liver,"Liver, Chow, Rep 8"
GSM8316681,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,6.042189882328099,2.287972973873383,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 1"
GSM8316682,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.862773963083812,2.354295937166891,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 2"
GSM8316683,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.804667150509072,2.2961846811064635,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 3"
GSM8316684,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.784916506661915,2.401110579092082,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 4"
GSM8316685,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.851178266437604,2.1894710419835897,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 5"
GSM8316686,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,6.061395164572253,2.313208868961537,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 6"
GSM8316687,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.8043762191051425,2.26731869757227,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 7"
GSM8316688,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.92675986571504,2.3201612593860457,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 8"
GSM8316689,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.958275591480902,2.2301652348331658,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 9"
GSM8316690,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.898557513869586,2.37855225798244,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,CDAA-HFD vehicle,not_specified,"tissue: Liver,treatment: CDAA-HFD vehicle",Liver,"Liver, CDAA-HFD vehicle, Rep 10"
GSM8316709,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,4.843135186431806,2.0779405087366793,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 1"
GSM8316710,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.145921386002194,2.2087049167035473,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 2"
GSM8316711,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.438082103928185,2.187051050708714,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 3"
GSM8316712,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.190702043314832,2.0821616253464468,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 4"
GSM8316713,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.090437058213597,2.1406504758699856,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 5"
GSM8316714,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.272172173365173,2.1678925528778943,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 6"
GSM8316715,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,5.029209265168387,2.169325268694192,GSE269493_CDAA_HFD_Lanifibranor,CDAA-HFD,Lanifibranor,not_specified,"tissue: Liver,treatment: CDAA-HFD Lanifibranor",Liver,"Liver, CDAA-HFD Lanifibranor, Rep 7"
