sample_id,ensemble_ids,n_ensemble_models,model_family,scoring_space,feature_space,predicted_nas_score,predicted_fibrosis_stage,dataset,mouse_model,mouse_genotype,mouse_treatment,time_point,characteristics_ch1,source_name_ch1,title
GSM4182972,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.4581564034316346,1.5357186557062052,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,1_L5.D701: WT+con liver 1
GSM4182973,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.3782280792688133,1.4177272102754173,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,2_L5.D702: WT+con liver 2
GSM4182974,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.4510841900593103,1.6095616099416783,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,3_L5.D703: WT+con liver 3
GSM4182975,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.3735040016367748,1.5648564711429496,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,4_L6.D704: WT+con liver 4
GSM4182976,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.325657541852213,1.4393825944723369,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,5_L5.D705: WT+con liver 5
GSM4182977,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.760661734012388,1.549530003926942,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,6_L6.D706: WT+con liver 6
GSM4182978,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.413771581362651,1.4882629378028667,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: F",Liver,7_L6.D707: WT+con liver 7
GSM4182979,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.375410876305577,1.5621188880171728,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,8_L6.D708: WT+con liver 8
GSM4182986,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,4.29060371030499,2.096949547195247,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: F",Liver,15_L7.D703: Nlrp3+con liver 1
GSM4182987,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,4.314765477981858,2.098524519369943,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,16_L7.D704: Nlrp3+con liver 2
GSM4182988,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.85986789585887,2.0152009672880924,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,17_L7.D705: Nlrp3+con liver 3
GSM4182989,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.8240631899973665,1.9423737768258427,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,Nlrp3 Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: Control chow+placebo,Sex: M",Liver,18_L7.D706: Nlrp3+con liver 4
GSM4182990,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.6932390068544194,1.9843047771447329,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,19_L7.D707: Nlrp3+GS  liver 1
GSM4182991,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,4.529180153871038,2.198113059292509,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,20_L8.D708: Nlrp3+GS  liver 2
GSM4182992,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.155349847336954,1.7890315040832019,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,21_L8.D709: Nlrp3+GS  liver 3
GSM4182993,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.7408917443645646,1.9631677128386593,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,22_L8.D710: Nlrp3+GS  liver 4
GSM4182994,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.661904255453213,1.3842855533256035,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: F",Liver,23_L8.D711: Nlrp3+GS  liver 5
GSM4182995,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,3.0065588383316184,1.7732394698566842,GSE140742_Nlrp3A350V_GS444217,Nlrp3A350V,Nlrp3A350V,GS-444217,not_specified,"tissue: Liver,genotype/variation: Nlrp3A350V/+CreT,treatment: GS-444217,Sex: M",Liver,24_L8.D712: Nlrp3+GS  liver 6
GSM4182996,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.726374604832048,1.5007211819837456,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,25_L8.D701: WT_con diet liver #1P
GSM4182997,"0,1,2,3,4,5,6,7,8,9",10,raw_human_plsr,raw_mouse_orthologues,orthologues,2.209611220457426,1.516983905815678,GSE140742_Nlrp3A350V_GS444217,Healthy,WT,WT Control chow+placebo,not_specified,"tissue: Liver,genotype/variation: WT,treatment: Control chow+placebo,Sex: M",Liver,26_L8.D702: WT_con diet liver #2P
