iteration,variable,value,sample_size,feature_size,variable_name
0,pv_1,1.0000000151816202,32,64,X_1
1,pv_1,0.9999999895370649,32,64,X_1
2,pv_1,1.0000000485299354,32,64,X_1
3,pv_1,0.9999999914954937,32,64,X_1
4,pv_1,0.9999999868740483,32,64,X_1
5,pv_1,0.999999990941574,32,64,X_1
6,pv_1,0.9999999962846002,32,64,X_1
7,pv_1,0.9999999142783956,32,64,X_1
8,pv_1,0.9999999872457269,32,64,X_1
9,pv_1,1.0000000046877044,32,64,X_1
10,pv_1,1.00000000388393,32,64,X_1
11,pv_1,1.0000000207147601,32,64,X_1
12,pv_1,0.9999999965016242,32,64,X_1
13,pv_1,0.999999992778471,32,64,X_1
14,pv_1,1.0000000087842886,32,64,X_1
15,pv_1,0.9999999919647609,32,64,X_1
16,pv_1,1.0000000024551354,32,64,X_1
17,pv_1,1.0000000249422778,32,64,X_1
18,pv_1,1.0000000074505102,32,64,X_1
19,pv_1,0.9999999952404041,32,64,X_1
20,pv_1,1.000000004948395,32,64,X_1
21,pv_1,1.0000000104775644,32,64,X_1
22,pv_1,0.9999999912781068,32,64,X_1
23,pv_1,0.9999999852994964,32,64,X_1
24,pv_1,0.9999999877699223,32,64,X_1
25,pv_1,0.9999999830620642,32,64,X_1
26,pv_1,0.999999985474197,32,64,X_1
27,pv_1,0.9999999504494822,32,64,X_1
28,pv_1,1.0000000087596357,32,64,X_1
29,pv_1,0.9999999385898088,32,64,X_1
0,pv_2,0.9999999634664518,32,64,X_1
1,pv_2,0.9999999592483914,32,64,X_1
2,pv_2,0.9999999599620214,32,64,X_1
3,pv_2,1.0000000095838932,32,64,X_1
4,pv_2,0.9999999646499163,32,64,X_1
5,pv_2,1.0000000310579356,32,64,X_1
6,pv_2,1.0000000085509717,32,64,X_1
7,pv_2,0.9999997698266869,32,64,X_1
8,pv_2,0.9999999675231781,32,64,X_1
9,pv_2,0.9999999666962045,32,64,X_1
10,pv_2,0.9999999670490543,32,64,X_1
11,pv_2,1.0000000271632588,32,64,X_1
12,pv_2,0.9999999476515227,32,64,X_1
13,pv_2,1.0000000139940655,32,64,X_1
14,pv_2,0.9999999620740629,32,64,X_1
15,pv_2,0.9999972026482286,32,64,X_1
16,pv_2,0.9999999912980976,32,64,X_1
17,pv_2,0.9999999522582892,32,64,X_1
18,pv_2,0.9999999761327247,32,64,X_1
19,pv_2,0.9999998670925145,32,64,X_1
20,pv_2,0.9999999878699822,32,64,X_1
21,pv_2,0.9999999989171521,32,64,X_1
22,pv_2,0.9999999800319714,32,64,X_1
23,pv_2,0.9999999640423144,32,64,X_1
24,pv_2,0.9999999330043942,32,64,X_1
25,pv_2,0.9999999921145175,32,64,X_1
26,pv_2,0.9999997809678444,32,64,X_1
27,pv_2,0.9999998753547008,32,64,X_1
28,pv_2,1.0000000023647024,32,64,X_1
29,pv_2,0.9999998843636492,32,64,X_1
0,pv_3,0.9999999842948828,32,64,X_1
1,pv_3,0.9355913547330362,32,64,X_1
2,pv_3,0.9999999836506082,32,64,X_1
3,pv_3,0.9999999544563781,32,64,X_1
4,pv_3,0.9999999856873353,32,64,X_1
5,pv_3,1.0000000112531957,32,64,X_1
6,pv_3,0.9999999658710252,32,64,X_1
7,pv_3,0.9999999902062533,32,64,X_1
8,pv_3,0.999999978903959,32,64,X_1
9,pv_3,0.9999999789925961,32,64,X_1
10,pv_3,0.999999995677234,32,64,X_1
11,pv_3,0.9999997220622548,32,64,X_1
12,pv_3,0.9999999947502574,32,64,X_1
13,pv_3,1.0000000150742185,32,64,X_1
14,pv_3,0.999999894552719,32,64,X_1
15,pv_3,0.9999979563075904,32,64,X_1
16,pv_3,0.9999999753461437,32,64,X_1
17,pv_3,0.9999999416605911,32,64,X_1
18,pv_3,1.000000008546907,32,64,X_1
19,pv_3,0.9999998444942869,32,64,X_1
20,pv_3,0.999999971149153,32,64,X_1
21,pv_3,0.9999999409704982,32,64,X_1
22,pv_3,0.9999999780467929,32,64,X_1
23,pv_3,0.999999965073756,32,64,X_1
24,pv_3,0.9999983656054413,32,64,X_1
25,pv_3,0.9999999835292835,32,64,X_1
26,pv_3,0.9999999032576737,32,64,X_1
27,pv_3,1.0000000008627292,32,64,X_1
28,pv_3,1.0000000041171422,32,64,X_1
29,pv_3,0.9999999690559249,32,64,X_1
0,pv_4,0.9999999852107891,32,64,X_1
1,pv_4,0.9971910528820113,32,64,X_1
2,pv_4,0.9999999253576852,32,64,X_1
3,pv_4,0.9999997386898154,32,64,X_1
4,pv_4,0.9999999449475988,32,64,X_1
5,pv_4,0.9999999755801507,32,64,X_1
6,pv_4,0.9999999965053846,32,64,X_1
7,pv_4,1.0000000385082162,32,64,X_1
8,pv_4,0.9999999804299636,32,64,X_1
9,pv_4,0.999999976369571,32,64,X_1
10,pv_4,0.9999999717357518,32,64,X_1
11,pv_4,0.9999998691083964,32,64,X_1
12,pv_4,1.00000003415526,32,64,X_1
13,pv_4,0.9999999979812516,32,64,X_1
14,pv_4,1.000000021595141,32,64,X_1
15,pv_4,0.999999910480239,32,64,X_1
16,pv_4,0.9999999281292601,32,64,X_1
17,pv_4,0.8716093668777471,32,64,X_1
18,pv_4,1.000000006828951,32,64,X_1
19,pv_4,0.9999999563755377,32,64,X_1
20,pv_4,0.9999999364281051,32,64,X_1
21,pv_4,0.9999999423797302,32,64,X_1
22,pv_4,0.9999999958555982,32,64,X_1
23,pv_4,0.9999999889473649,32,64,X_1
24,pv_4,0.999998799423635,32,64,X_1
25,pv_4,0.9999999933210397,32,64,X_1
26,pv_4,0.9999999651692395,32,64,X_1
27,pv_4,1.0000000077062516,32,64,X_1
28,pv_4,0.9999999426279612,32,64,X_1
29,pv_4,0.9999998863538871,32,64,X_1
0,pv_5,0.9999999943564725,32,64,X_1
1,pv_5,0.9999999982332282,32,64,X_1
2,pv_5,0.9999999479036742,32,64,X_1
3,pv_5,0.9999995371173642,32,64,X_1
4,pv_5,1.0000000121947805,32,64,X_1
5,pv_5,0.9999999444439982,32,64,X_1
6,pv_5,1.0000000009443297,32,64,X_1
7,pv_5,1.0000000120123091,32,64,X_1
8,pv_5,1.0000000009877235,32,64,X_1
9,pv_5,0.9999999288913635,32,64,X_1
10,pv_5,0.999999970721676,32,64,X_1
11,pv_5,0.9999999575192074,32,64,X_1
12,pv_5,1.0000000019951707,32,64,X_1
13,pv_5,0.9999999875867155,32,64,X_1
14,pv_5,0.9999999951397484,32,64,X_1
15,pv_5,0.9999998958334796,32,64,X_1
16,pv_5,0.9999999865475676,32,64,X_1
17,pv_5,0.9999999536147964,32,64,X_1
18,pv_5,0.9999999997589356,32,64,X_1
19,pv_5,0.9999998900027812,32,64,X_1
20,pv_5,0.9999999480148922,32,64,X_1
21,pv_5,0.999999719686565,32,64,X_1
22,pv_5,0.9999999714813322,32,64,X_1
23,pv_5,1.0000000182752975,32,64,X_1
24,pv_5,0.9999999726750513,32,64,X_1
25,pv_5,0.9743192513524254,32,64,X_1
26,pv_5,0.9999999588344086,32,64,X_1
27,pv_5,0.9999999929942329,32,64,X_1
28,pv_5,0.9999999240697852,32,64,X_1
29,pv_5,0.9999997796079332,32,64,X_1
0,pv_6,1.0000000184581754,32,64,X_1
1,pv_6,0.9999999868834502,32,64,X_1
2,pv_6,0.9999999588399763,32,64,X_1
3,pv_6,0.9999999738675873,32,64,X_1
4,pv_6,0.9999999729841745,32,64,X_1
5,pv_6,1.0000000013684673,32,64,X_1
6,pv_6,0.9641652455091758,32,64,X_1
7,pv_6,1.0000000374790978,32,64,X_1
8,pv_6,0.9999999751592537,32,64,X_1
9,pv_6,0.9999999768771648,32,64,X_1
10,pv_6,0.9999999819659737,32,64,X_1
11,pv_6,0.9999999803106818,32,64,X_1
12,pv_6,0.9999998884174222,32,64,X_1
13,pv_6,0.9999999533737353,32,64,X_1
14,pv_6,1.000000007083544,32,64,X_1
15,pv_6,1.0000000141470422,32,64,X_1
16,pv_6,0.9999999986562463,32,64,X_1
17,pv_6,0.9999999668855235,32,64,X_1
18,pv_6,0.9999999122092282,32,64,X_1
19,pv_6,0.9999999819056128,32,64,X_1
20,pv_6,0.9999999410069179,32,64,X_1
21,pv_6,0.9999995725795096,32,64,X_1
22,pv_6,0.9999999880360111,32,64,X_1
23,pv_6,0.9999999533654181,32,64,X_1
24,pv_6,0.9999999877434106,32,64,X_1
25,pv_6,0.9999999381213159,32,64,X_1
26,pv_6,0.9999999708110999,32,64,X_1
27,pv_6,0.9999999854082141,32,64,X_1
28,pv_6,0.9999999880257643,32,64,X_1
29,pv_6,0.9999999624371558,32,64,X_1
0,pv_7,0.9999999907530686,32,64,X_1
1,pv_7,1.000000022617482,32,64,X_1
2,pv_7,0.9999999752496009,32,64,X_1
3,pv_7,0.9999999843303824,32,64,X_1
4,pv_7,0.9999999662585911,32,64,X_1
5,pv_7,0.9999984666970615,32,64,X_1
6,pv_7,0.9999999512037979,32,64,X_1
7,pv_7,0.9999999720871424,32,64,X_1
8,pv_7,0.9999999637862781,32,64,X_1
9,pv_7,0.9999999671073277,32,64,X_1
10,pv_7,0.9999999524044839,32,64,X_1
11,pv_7,0.9999999997723329,32,64,X_1
12,pv_7,0.9999998742258912,32,64,X_1
13,pv_7,0.9999999874229798,32,64,X_1
14,pv_7,0.999999978634247,32,64,X_1
15,pv_7,0.999999832252444,32,64,X_1
16,pv_7,0.9999999818954599,32,64,X_1
17,pv_7,0.9999999226971247,32,64,X_1
18,pv_7,0.9999998984310109,32,64,X_1
19,pv_7,0.9999999903697734,32,64,X_1
20,pv_7,0.9999999152357454,32,64,X_1
21,pv_7,0.9999999112970622,32,64,X_1
22,pv_7,0.9999999706641082,32,64,X_1
23,pv_7,0.9999999634112854,32,64,X_1
24,pv_7,1.000000004589171,32,64,X_1
25,pv_7,0.9999999518309408,32,64,X_1
26,pv_7,0.9999999663584918,32,64,X_1
27,pv_7,0.9999999023855152,32,64,X_1
28,pv_7,1.000000006380701,32,64,X_1
29,pv_7,1.0000000125145119,32,64,X_1
0,pv_8,1.0000000189839189,32,64,X_1
1,pv_8,0.9999999857060602,32,64,X_1
2,pv_8,0.9999999657777725,32,64,X_1
3,pv_8,0.9999999834628849,32,64,X_1
4,pv_8,1.0000000055804776,32,64,X_1
5,pv_8,0.9999993259292893,32,64,X_1
6,pv_8,0.9999999371391491,32,64,X_1
7,pv_8,1.0000000440045183,32,64,X_1
8,pv_8,0.9999999883775661,32,64,X_1
9,pv_8,1.0000000144706451,32,64,X_1
10,pv_8,0.9999998761871791,32,64,X_1
11,pv_8,0.9999999707462777,32,64,X_1
12,pv_8,0.9999999796905273,32,64,X_1
13,pv_8,0.9999999907198022,32,64,X_1
14,pv_8,1.0000000145901549,32,64,X_1
15,pv_8,0.9999998128495884,32,64,X_1
16,pv_8,1.0000000079684013,32,64,X_1
17,pv_8,0.9999999852164844,32,64,X_1
18,pv_8,0.9999999661138453,32,64,X_1
19,pv_8,1.0000000022606865,32,64,X_1
20,pv_8,0.9999999526269658,32,64,X_1
21,pv_8,0.9999999719943456,32,64,X_1
22,pv_8,0.9999999898847758,32,64,X_1
23,pv_8,0.9999999983662521,32,64,X_1
24,pv_8,0.9999999692943252,32,64,X_1
25,pv_8,0.9999999530627239,32,64,X_1
26,pv_8,0.9999999720085876,32,64,X_1
27,pv_8,0.9999999563053089,32,64,X_1
28,pv_8,1.0000000068838621,32,64,X_1
29,pv_8,0.999999990961165,32,64,X_1
0,pv_9,0.9999999612370486,32,64,X_1
1,pv_9,0.9999999442461209,32,64,X_1
2,pv_9,0.9999999754611645,32,64,X_1
3,pv_9,0.9999999834863135,32,64,X_1
4,pv_9,1.0000000180878978,32,64,X_1
5,pv_9,1.0000000127446622,32,64,X_1
6,pv_9,0.9999999763662539,32,64,X_1
7,pv_9,1.00000001524977,32,64,X_1
8,pv_9,1.0000000144636718,32,64,X_1
9,pv_9,1.000000034685214,32,64,X_1
10,pv_9,0.999999791228403,32,64,X_1
11,pv_9,0.9999999440504328,32,64,X_1
12,pv_9,0.9999999578294988,32,64,X_1
13,pv_9,1.000000019928938,32,64,X_1
14,pv_9,1.0000000004078844,32,64,X_1
15,pv_9,0.9999999985698622,32,64,X_1
16,pv_9,1.000000022844216,32,64,X_1
17,pv_9,0.9999999951645571,32,64,X_1
18,pv_9,0.9999999801889872,32,64,X_1
19,pv_9,1.0000000121657222,32,64,X_1
20,pv_9,0.9999999993019083,32,64,X_1
21,pv_9,1.0000000410643886,32,64,X_1
22,pv_9,1.0000000077137579,32,64,X_1
23,pv_9,1.0000000003683287,32,64,X_1
24,pv_9,0.9999999889908555,32,64,X_1
25,pv_9,1.000000043351944,32,64,X_1
26,pv_9,1.0000000193460286,32,64,X_1
27,pv_9,1.000000020275394,32,64,X_1
28,pv_9,0.9999999937290027,32,64,X_1
29,pv_9,1.0000000086483067,32,64,X_1
0,pv_10,0.9999999517662818,32,64,X_1
1,pv_10,0.9999999741599765,32,64,X_1
2,pv_10,1.0000000155472204,32,64,X_1
3,pv_10,1.0000000343191386,32,64,X_1
4,pv_10,0.9999999693656846,32,64,X_1
5,pv_10,1.00000000845134,32,64,X_1
6,pv_10,1.000000002362952,32,64,X_1
7,pv_10,0.9999999658714057,32,64,X_1
8,pv_10,1.0000000139136536,32,64,X_1
9,pv_10,0.9999999919127163,32,64,X_1
10,pv_10,0.9999999783977157,32,64,X_1
11,pv_10,0.9999999725958004,32,64,X_1
12,pv_10,0.9999999599838231,32,64,X_1
13,pv_10,0.9999999945649239,32,64,X_1
14,pv_10,1.0000000160022717,32,64,X_1
15,pv_10,0.999999940600575,32,64,X_1
16,pv_10,0.9999999546456763,32,64,X_1
17,pv_10,0.9999999959629099,32,64,X_1
18,pv_10,0.9999999756888661,32,64,X_1
19,pv_10,0.9999999896164067,32,64,X_1
20,pv_10,0.9999999873151629,32,64,X_1
21,pv_10,1.000000017853719,32,64,X_1
22,pv_10,1.0000000344389217,32,64,X_1
23,pv_10,1.0000000387919983,32,64,X_1
24,pv_10,0.9999999848311206,32,64,X_1
25,pv_10,0.9999999938000139,32,64,X_1
26,pv_10,0.9999999841984387,32,64,X_1
27,pv_10,0.9999999895027778,32,64,X_1
28,pv_10,0.9999999919541805,32,64,X_1
29,pv_10,0.9999999571976581,32,64,X_1
0,pv_11,1.0000000045898532,32,64,X_1
1,pv_11,1.000000026183408,32,64,X_1
2,pv_11,0.9999999553651013,32,64,X_1
3,pv_11,0.999999982192413,32,64,X_1
4,pv_11,1.0000000123064547,32,64,X_1
5,pv_11,1.000000005102293,32,64,X_1
6,pv_11,0.9999999885400409,32,64,X_1
7,pv_11,0.9650236085107844,32,64,X_1
8,pv_11,1.0000000259454829,32,64,X_1
9,pv_11,0.9999999602050177,32,64,X_1
10,pv_11,1.0000000106821152,32,64,X_1
11,pv_11,0.9999999789457293,32,64,X_1
12,pv_11,0.9999999922104919,32,64,X_1
13,pv_11,0.9999999685620322,32,64,X_1
14,pv_11,0.9999999898424154,32,64,X_1
15,pv_11,0.9999999976897818,32,64,X_1
16,pv_11,0.9999999682428428,32,64,X_1
17,pv_11,1.0000000138032663,32,64,X_1
18,pv_11,0.9999999934417083,32,64,X_1
19,pv_11,0.9999999711965702,32,64,X_1
20,pv_11,0.9999999741814474,32,64,X_1
21,pv_11,1.0000000043583857,32,64,X_1
22,pv_11,1.0000000018236972,32,64,X_1
23,pv_11,1.000000004520955,32,64,X_1
24,pv_11,0.9999999976640992,32,64,X_1
25,pv_11,0.9999999993940638,32,64,X_1
26,pv_11,0.9999999740469259,32,64,X_1
27,pv_11,0.9999999692086435,32,64,X_1
28,pv_11,0.9999999582053416,32,64,X_1
29,pv_11,0.9999999800556358,32,64,X_1
0,pv_12,1.0000000524795298,32,64,X_1
1,pv_12,1.0000000143839225,32,64,X_1
2,pv_12,0.9999999888896635,32,64,X_1
3,pv_12,1.0000000111884402,32,64,X_1
4,pv_12,1.0000000142170777,32,64,X_1
